Source,Target,Type,Weight
@CredibanCo_,@Davivienda,Undirected,1
@Cristia56444419,@MafeCarrascal,Undirected,1
@Cristia56444419,@monvelt,Undirected,1
@CristoAtado,@Davivienda,Undirected,1
@CristyLopezLeon,@AsofiamR4,Undirected,1
@CristyLopezLeon,@BancoPromerica,Undirected,1
@DaniaGonzalz,@Davivienda,Undirected,1
@DaniaGonzalz,@WilliamSorianoH,Undirected,1
@DanielP78061978,@Davivienda,Undirected,2
@DanielP78061978,@Edimejia1979,Undirected,1
@DanielP78061978,@binance,Undirected,1
@DaveMendezL,@DavidPaz_09,Undirected,1
@DaveMendezL,@Davivienda,Undirected,2
@DaviEscucha,@telefonorojo,Undirected,1
@DaviPlata,@Alkosto,Undirected,1
@DaviPlata,@Asobancaria,Undirected,2
@DaviPlata,@BancoRepublica,Undirected,7
@DaviPlata,@Bancolombia,Undirected,1
@DaviPlata,@ClaroColombia,Undirected,1
@DaviPlata,@ClaroTeAyuda,Undirected,1
@DaviPlata,@DaviEscucha,Undirected,1
@DaviPlata,@DaviPlata,Undirected,14
@DaviPlata,@Davivienda,Undirected,54
@DaviPlata,@Falabella_co,Undirected,1
@DaviPlata,@FiscaliaCol,Undirected,2
@DaviPlata,@Liberen_a_Willy,Undirected,1
@DaviPlata,@MovistarCo,Undirected,1
@DaviPlata,@Nequi,Undirected,1
@DaviPlata,@ProsperidadCol,Undirected,1
@DaviPlata,@RappiPay,Undirected,1
@DaviPlata,@SFCsupervisor,Undirected,23
@DaviPlata,@Superservicios,Undirected,7
@DaviPlata,@daviplata,Undirected,1
@DaviPlata,@gutierrezluis,Undirected,1
@DaviPlata,@johnsonmtb,Undirected,4
@DaviPlata,@pombo_s,Undirected,1
@DaviPlata,@sicsuper,Undirected,13
@DavidPaz_09,@Davivienda,Undirected,1
@DavidPaz_09,@JABP008,Undirected,1
@DavidRacero,@EDR_CD,Undirected,2
@Daviplata,@epayco,Undirected,1
@Davivienda,@Alkosto,Undirected,1
@Davivienda,@Asnasalvaje,Undirected,7
@Davivienda,@Asobancaria,Undirected,3
@Davivienda,@Avianca,Undirected,1
@Davivienda,@BancoAgrario,Undirected,1
@Davivienda,@BancoCUSCATLAN_,Undirected,1
@Davivienda,@BancoFinandina,Undirected,1
@Davivienda,@BancoPichincha,Undirected,2
@Davivienda,@BancoPopularCR,Undirected,1
@Davivienda,@BancoRepublica,Undirected,5
@Davivienda,@Banco_AvVillas,Undirected,5
@Davivienda,@BancodeBogota,Undirected,5
@Davivienda,@Bancolombia,Undirected,25
@Davivienda,@Bco_Occidente,Undirected,2
@Davivienda,@CCLaDorada,Undirected,1
@Davivienda,@CGR_Colombia,Undirected,1
@Davivienda,@CaracolTV,Undirected,1
@Davivienda,@Catalba,Undirected,1
@Davivienda,@ClaroColombia,Undirected,1
@Davivienda,@ClaroTeAyuda,Undirected,1
@Davivienda,@ColConsumidor,Undirected,1
@Davivienda,@CristoAtado,Undirected,1
@Davivienda,@DDom1975,Undirected,1
@Davivienda,@DaniaGonzalz,Undirected,1
@Davivienda,@DaviEscucha,Undirected,10
@Davivienda,@DaviPlata,Undirected,59
@Davivienda,@DavidFlorezMP,Undirected,1
@Davivienda,@Daviplata,Undirected,1
@Davivienda,@Davivienda,Undirected,72
@Davivienda,"@Davivienda,",Undirected,8
@Davivienda,@Davivienda_Pan,Undirected,1
@Davivienda,@DefensoriaCol,Undirected,2
@Davivienda,@Defensoria_910,Undirected,2
@Davivienda,@ELTIEMPO,Undirected,1
@Davivienda,@ENTERCO,Undirected,1
@Davivienda,@Efe_ElLeon,Undirected,1
@Davivienda,@El_Tesoro,Undirected,1
@Davivienda,@Estella92,Undirected,1
@Davivienda,@Falabella_co,Undirected,1
@Davivienda,@Finagro,Undirected,1
@Davivienda,@FiscaliaCol,Undirected,8
@Davivienda,@FundacionBD,Undirected,1
@Davivienda,@GermanCrstancho,Undirected,3
@Davivienda,@GustavoBolivar,Undirected,1
@Davivienda,@HELIODOPTERO,Undirected,1
@Davivienda,@IC,Undirected,1
@Davivienda,@Innovabolivar,Undirected,2
@Davivienda,@Ivan_abc,Undirected,2
@Davivienda,@JohanUlloaA,Undirected,1
@Davivienda,@JohnTheKidUS,Undirected,1
@Davivienda,@Jorge_Montreal,Undirected,3
@Davivienda,@Karlaarcila,Undirected,1
@Davivienda,@LILIANACASTROMU,Undirected,1
@Davivienda,@Liberen_a_Willy,Undirected,1
@Davivienda,@MBcomunicacion,Undirected,1
@Davivienda,@MacCenter,Undirected,1
@Davivienda,@MadridistaaSin0,Undirected,1
@Davivienda,@Marianiniecheve,Undirected,3
@Davivienda,@MinInterior,Undirected,1
@Davivienda,@MovistarCo,Undirected,1
@Davivienda,@MovistarPlus,Undirected,1
@Davivienda,@Nathygat7,Undirected,2
@Davivienda,@Nequi,Undirected,2
@Davivienda,@NicolasTovarZ,Undirected,1
@Davivienda,@NoticiasRCN,Undirected,2
@Davivienda,@PRISARadio,Undirected,1
@Davivienda,@PactoCol,Undirected,1
@Davivienda,@PaoHerreraC,Undirected,1
@Davivienda,@PoliciaCali,Undirected,1
@Davivienda,@PolombianoDBien,Undirected,1
@Davivienda,@ProsperidadCol,Undirected,1
@Davivienda,@Puntored_CO,Undirected,1
@Davivienda,@R_de_alicantino,Undirected,1
@Davivienda,@RoyBarreras,Undirected,1
@Davivienda,@SFCsupervisor,Undirected,75
@Davivienda,@SSF_ElSalvador,Undirected,6
@Davivienda,@SSociedades,Undirected,1
@Davivienda,@Sago2022,Undirected,1
@Davivienda,@ScotiaColpatria,Undirected,1
@Davivienda,@SegurosBolivar,Undirected,7
@Davivienda,@SegurosMundial,Undirected,1
@Davivienda,@Sicresponde,Undirected,1
@Davivienda,@Social_Skin_,Undirected,3
@Davivienda,@Superservicios,Undirected,5
@Davivienda,@TROYA_NOTICIAS,Undirected,3
@Davivienda,@TuCivica,Undirected,1
@Davivienda,@Twitter,Undirected,1
@Davivienda,@UNALOficial,Undirected,2
@Davivienda,@Uber_Col,Undirected,1
@Davivienda,@Uber_Support,Undirected,1
@Davivienda,@VillamilMarlene,Undirected,1
@Davivienda,@VillanuevaGuaj,Undirected,1
@Davivienda,@WellAgency3,Undirected,1
@Davivienda,@YouTube,Undirected,1
@Davivienda,@actualidadpanam,Undirected,1
@Davivienda,@almacenesexito,Undirected,1
@Davivienda,@andrescepeda,Undirected,5
@Davivienda,@bancoagricolasv,Undirected,1
@Davivienda,@bancobogota,Undirected,1
@Davivienda,@bancosantander,Undirected,1
@Davivienda,@bbva,Undirected,1
@Davivienda,@binance,Undirected,4
@Davivienda,@camara_dorada,Undirected,1
@Davivienda,@caroooooooD,Undirected,2
@Davivienda,@cooservunal,Undirected,1
@Davivienda,@davidbarguil,Undirected,2
@Davivienda,@davivienda,Undirected,1
@Davivienda,@dijo,Undirected,1
@Davivienda,@drcata,Undirected,1
@Davivienda,@epayco,Undirected,1
@Davivienda,@farmaceuticoac1,Undirected,1
@Davivienda,@fdoatehortua,Undirected,1
@Davivienda,@fernandhovilla,Undirected,4
@Davivienda,@giz_gmbh,Undirected,1
@Davivienda,@gleniiaaa,Undirected,1
@Davivienda,@grupoaval,Undirected,2
@Davivienda,@gutierrezluis,Undirected,1
@Davivienda,@isalopezgiraldo,Undirected,2
@Davivienda,@jesica_dlp,Undirected,1
@Davivienda,@johnsonmtb,Undirected,2
@Davivienda,@lafm,Undirected,3
@Davivienda,@larepublica_co,Undirected,1
@Davivienda,"@larepublica_co,",Undirected,1
@Davivienda,@lopez65,Undirected,1
@Davivienda,@losdanieles,Undirected,1
@Davivienda,@mariobotinat,Undirected,1
@Davivienda,@mercadopago,Undirected,1
@Davivienda,@metrodemedellin,Undirected,1
@Davivienda,@mis,Undirected,1
@Davivienda,@nenarrazola,Undirected,1
@Davivienda,@nequi,Undirected,1
@Davivienda,@noticia_lopez65,Undirected,1
@Davivienda,@nubank,Undirected,3
@Davivienda,@petrogustavo,Undirected,2
@Davivienda,@plazacentralccb,Undirected,1
@Davivienda,@polombiano88,Undirected,1
@Davivienda,@priradiotv,Undirected,2
@Davivienda,@readloverspcj,Undirected,1
@Davivienda,@ricardocipago,Undirected,2
@Davivienda,@santiguerrerow,Undirected,1
@Davivienda,@sarriamo,Undirected,1
@Davivienda,@sicsuper,Undirected,22
@Davivienda,@ssf.gob.sv,Undirected,1
@Davivienda,@superbancosEC,Undirected,1
@Davivienda,@telefonorojo,Undirected,8
@Davivienda,@w_radio,Undirected,1
@Davivienda,@wilsonariasc,Undirected,13
@DefensoriaCol,@CGR_Colombia,Undirected,1
@Defensoria_910,@SSF_ElSalvador,Undirected,1
@Deftvergara05,@DaviPlata,Undirected,2
@Deftvergara05,@Davivienda,Undirected,2
@DianaLuna07,@Davivienda,Undirected,2
@Diana_banana__,@Davivienda,Undirected,2
@DonKaiser016,@Oscar16720574,Undirected,1
@Don_Mengano,@Cairolinha,Undirected,1
@ECUANTICA,@YerlyMozo,Undirected,1
@ECUANTICA,@andreanimalidad,Undirected,1
@ECUANTICA,@somosraya,Undirected,1
@EDR_CD,@EDR_CD,Undirected,1
@ELTIEMPO,@MabelLaraNews,Undirected,1
@ELTIEMPO,@tripleCIbarguen,Undirected,1
@Eder78849160,@Davivienda,Undirected,1
@Eder78849160,@darcyquinnr,Undirected,1
@Edildiaz1501,@DaviPlata,Undirected,1
@Edildiaz1501,@Davivienda,Undirected,1
@Edimejia1979,@BinanceES,Undirected,5
@Edimejia1979,@BinanceHelpDesk,Undirected,4
@Edimejia1979,@Davivienda,Undirected,7
@Edimejia1979,@DiarioBitcoin,Undirected,1
@Edimejia1979,"@NoticiasCaracoltv,",Undirected,1
@Edimejia1979,@NoticiasRCN,Undirected,14
@Edimejia1979,@binance,Undirected,13
@Edimejia1979,@cachaful,Undirected,2
@Edimejia1979,@cz_binance,Undirected,4
@Edimejia1979,@davivienda,Undirected,1
@Edimejia1979,@digitalbuzzfab,Undirected,1
@Edimejia1979,@elBitcoin,Undirected,1
@Edimejia1979,@noticiasRCN,Undirected,1
@EdoCote,@rcnradio,Undirected,1
@EduardBernstei1,@FranciaMarquezM,Undirected,1
@ElPetisoArango,@AmericadeCali,Undirected,1
@ElPetisoArango,@MillosFCoficial,Undirected,1
@ElQueLosDELATA,@ISAZULETA,Undirected,1
@El_MAGDANIEL,@pepadeguama1,Undirected,1
@Elambidiestro2,@pascuteboy,Undirected,1
@EnriqueDelgadoP,@Davivienda,Undirected,4
@EnriqueDelgadoP,@wilsonariasc,Undirected,4
@Error404col,@Davivienda,Undirected,2
@Espino39170328,@humocolorazul,Undirected,1
@Estella92,@FiscaliaCol,Undirected,1
@Falabella_co,@Alkosto,Undirected,1
@Falabella_co,@ClaroColombia,Undirected,1
@Falabella_co,@ClaroTeAyuda,Undirected,1
@Falabella_co,@Davivienda,Undirected,1
@Falabella_co,@MovistarCo,Undirected,2
@Falabella_co,@sicsuper,Undirected,1
@FenixUlloaVP,@BancoCUSCATLAN_,Undirected,1
@FenixUlloaVP,@Davivienda,Undirected,1
@FenixUlloaVP,@bancoagricolasv,Undirected,1
@Fiigueeroa,@Davivienda,Undirected,1
@FiscaliaCol,@Davivienda,Undirected,1
@FiscaliaCol,@PoliciaCali,Undirected,1
@FiscaliaCol,@SFCsupervisor,Undirected,1
@FiscaliaCol,@Twitter,Undirected,1
@FiscaliaCol,@lafm,Undirected,1
@FueledByChangua,@Davivienda,Undirected,2
@FundacionBD,@Davivienda,Undirected,1
@FundacionBD,@andrescepeda,Undirected,2
@G__________B,@ML_Colombia,Undirected,1
@GabrielSantosCD,@CeDemocratico,Undirected,1
@GabrielaTafur,@Davivienda,Undirected,1
@GermanCrstancho,@Davivienda,Undirected,1
@GermanCrstancho,@Ivan_abc,Undirected,2
@Ginaa1931,@Nequi,Undirected,1
@Ginnita95,@Daviempleo,Undirected,1
@GuinandSandra,@DIEGOFDOCAICEDO,Undirected,1
@GuinandSandra,@Davivienda,Undirected,1
@GuinandSandra,@SFCsupervisor,Undirected,2
@GutierrezLuis_,@DaviPlata,Undirected,1
@GutierrezLuis_,@Davivienda,Undirected,1
@GutierrezLuis_,@gutierrezluis,Undirected,1
@HELIODOPTERO,@PactoCol,Undirected,1
@HELIODOPTERO,@RoyBarreras,Undirected,1
@Hanso_Hasashi_,@cafenofilo,Undirected,2
@HenryFloresST,@CAMdeSantaTecla,Undirected,1
@HenryFloresST,@SantaTeclaSV,Undirected,1
@HugoLeonElRojo,@agmethescaf,Undirected,1
@HugoSal16633467,@MarianaBalague7,Undirected,1
@HugoSal16633467,@petrogustavo,Undirected,1
@HypatiaHurtado,@ElQueLosDELATA,Undirected,1
@HypatiaHurtado,@ISAZULETA,Undirected,1
@IC,@BancoPichincha,Undirected,1
@IC,@Banco_AvVillas,Undirected,1
@IC,@cooservunal,Undirected,1
@IknowyouwantmyK,@Marianiniecheve,Undirected,1
@Inkonstante1,@CristoAtado,Undirected,1
@Inkonstante1,@Davivienda,Undirected,1
@Innovabolivar,@SegurosBolivar,Undirected,2
@Innovabolivar,@TROYA_NOTICIAS,Undirected,2
@Innovabolivar,@priradiotv,Undirected,2
@Innovabolivar,@ricardocipago,Undirected,1
@Ivan_abc,@Davivienda,Undirected,2
@Ivan_abc,@GermanCrstancho,Undirected,2
@Ivan_abc,@Ivan_abc,Undirected,2
@Ivanteacher69,@petrogustavo,Undirected,1
@JABP008,@Davivienda,Undirected,3
@JCecheverryCol,@CaracolRadio,Undirected,1
@JCecheverryCol,@Davivienda,Undirected,2
@JCecheverryCol,@JCecheverryCol,Undirected,1
@JCecheverryCol,@_ajaytuque,Undirected,1
@JCecheverryCol,@binance,Undirected,1
@JCecheverryCol,@elkinsu,Undirected,1
@JERobledo,@Davivienda,Undirected,1
@JavierHTolosa,@Davivienda,Undirected,1
@JavierHTolosa,@Karlaarcila,Undirected,1
@JavierJMED,@Apple,Undirected,1
@JavierJMED,@Bancolombia,Undirected,1
@JavierJMED,@Davivienda,Undirected,6
@JavierJMED,@almacenesexito,Undirected,2
@JenniferAriasF,@angelamrobledo,Undirected,1
@JeonPark_JP,@JovenesAccionCo,Undirected,2
@JeonPark_JP,@ProsperidadCol,Undirected,2
@Jergonzalez,@Marianiniecheve,Undirected,1
@Jessie_Dlp,@Davivienda,Undirected,2
@JgStones,@Davivienda,Undirected,1
@Joacoro,@Davivienda,Undirected,1
@JohanTriana,@Davivienda,Undirected,1
@JohanaM00425654,@Davivienda,Undirected,2
@JohnFredyRico,@Davivienda,Undirected,1
@JohnTheKidUS,@BancodeBogota,Undirected,1
@JohnTheKidUS,@Bancolombia,Undirected,1
@JohnTheKidUS,@Davivienda,Undirected,1
@Jokeraton,@Davivienda,Undirected,2
@JorgeIzquierdo0,@MONYRODRIGUEZOF,Undirected,1
@Jorge_Montreal,@Davivienda,Undirected,2
@JoseleOso,@Nequi,Undirected,1
@JovenesAccionCo,@DaviPlata,Undirected,2
@JovenesAccionCo,@JovenesAccionCo,Undirected,1
@JovenesAccionCo,@ProsperidadCol,Undirected,4
@JuanBucareli,@Davivienda,Undirected,2
@JuanBucareli,@paulaenelalma,Undirected,1
@JuanDRomero,@MAndreaNieto,Undirected,1
@JuanPabloIsazaP,@SimonVargasM,Undirected,1
@JuanPabloIsazaP,@gnrlmvm,Undirected,1
@Juank1388,@Bancolombia,Undirected,1
@Juank1388,@Davivienda,Undirected,1
@Juanma7725,@AlexMesa17,Undirected,1
@Juanper62225640,@MaribelVasquezJ,Undirected,1
@Juanper62225640,@ssf.gob.sv,Undirected,1
@JuanseRios87,@Davivienda,Undirected,1
@JuanseRios87,@SFCsupervisor,Undirected,1
@JuanseRios87,@sarriamo,Undirected,1
@JulianaUssa3,@DaviPlata,Undirected,1
@JulianaUssa3,@Davivienda,Undirected,1
@Julianaramirez6,@BancosAval,Undirected,1
@JulioCesarOlay8,@CathyJuvinao,Undirected,1
@JuxnDiego,@DaviPlata,Undirected,1
@JuxnDiego,@Nequi,Undirected,1
@KT_Leal,@Davivienda,Undirected,3
@KT_Leal,@SFCsupervisor,Undirected,1
@KarenMontaa13,@CaracolRadio,Undirected,1
@KarenTralara,@karentralara,Undirected,1
@KarenTralara,@metrodemedellin,Undirected,1
@Karlaarcila,@Davivienda,Undirected,23
@Karlaarcila,@ez2000co,Undirected,2
@LaHuellaSV,@DaniaGonzalz,Undirected,1
@LaHuellaSV,@WilliamSorianoH,Undirected,1
