Id,Label,Type,Weight
@Locorrecto4,@Locorrecto4,Undirected,1
@Lucasfriedmanjr,@Lucasfriedmanjr,Undirected,1
@LuisFer45684347,@LuisFer45684347,Undirected,1
@Luisamenesesv,@Luisamenesesv,Undirected,1
@MAndreaNieto,@MAndreaNieto,Undirected,5
@MBcomunicacion,@MBcomunicacion,Undirected,1
@ML_Ayuda,@ML_Ayuda,Undirected,2
@ML_Colombia,@ML_Colombia,Undirected,1
@MONYRODRIGUEZOF,@MONYRODRIGUEZOF,Undirected,7
@Maaa_masala,@Maaa_masala,Undirected,1
@MabelLaraNews,@MabelLaraNews,Undirected,2
@MacCenter,@MacCenter,Undirected,2
@MadridistaaSin0,@MadridistaaSin0,Undirected,1
@MafeCarrascal,@MafeCarrascal,Undirected,1
@MafeLemus5,@MafeLemus5,Undirected,4
@Makathelion,@Makathelion,Undirected,2
@Manu03paez,@Manu03paez,Undirected,1
@ManuelVasquez_1,@ManuelVasquez_1,Undirected,1
@Manuel_P0rtill0,@Manuel_P0rtill0,Undirected,1
@ManuelaEchava15,@ManuelaEchava15,Undirected,1
@MaoS_777,@MaoS_777,Undirected,1
@MarViToF,@MarViToF,Undirected,1
@Marcela_Azul,@Marcela_Azul,Undirected,1
@Margaritarosadf,@Margaritarosadf,Undirected,4
@MariaCa0211,@MariaCa0211,Undirected,1
@MarianaBalague7,@MarianaBalague7,Undirected,1
@Marianiniecheve,@Marianiniecheve,Undirected,60
@MaribelVasquezJ,@MaribelVasquezJ,Undirected,4
@MarioGiraldoR,@MarioGiraldoR,Undirected,1
@Martha1257,@Martha1257,Undirected,1
@MartinSantosR,@MartinSantosR,Undirected,2
@Marucha3847,@Marucha3847,Undirected,1
@Matiquizaya,@Matiquizaya,Undirected,2
@Mauricio27124,@Mauricio27124,Undirected,1
@MauroCardenas27,@MauroCardenas27,Undirected,1
@Maurolarrea2,@Maurolarrea2,Undirected,1
@Mediopeque,@Mediopeque,Undirected,1
@Melissaceball,@Melissaceball,Undirected,1
@MemoBastid,@MemoBastid,Undirected,1
@MendezAzahar,@MendezAzahar,Undirected,1
@MiguelUribeT,@MiguelUribeT,Undirected,1
@MillosFCoficial,@MillosFCoficial,Undirected,3
@MinHacienda,@MinHacienda,Undirected,1
@MinInterior,@MinInterior,Undirected,1
@Monajaneth,@Monajaneth,Undirected,1
@MoratBanda,@MoratBanda,Undirected,1
@MovistarCo,@MovistarCo,Undirected,5
@MovistarPlus,@MovistarPlus,Undirected,1
@MrTwentyOficial,@MrTwentyOficial,Undirected,1
@Nacho04a,@Nacho04a,Undirected,1
@NataliaBonnett,@NataliaBonnett,Undirected,1
@Nataliaescribe,@Nataliaescribe,Undirected,1
@NathyGQuirogaC,@NathyGQuirogaC,Undirected,1
@Nathygat7,@Nathygat7,Undirected,6
@NbaNata,@NbaNata,Undirected,1
@Negriet,@Negriet,Undirected,5
@NelsonSanAmay,@NelsonSanAmay,Undirected,1
@NennyAHN,@NennyAHN,Undirected,1
@Nequi,@Nequi,Undirected,13
@NetflixLAT,@NetflixLAT,Undirected,1
@NiPlataNiNada,@NiPlataNiNada,Undirected,1
@NicoDiazGr,@NicoDiazGr,Undirected,1
@NicolasMaduro,@NicolasMaduro,Undirected,1
@NicolasTovarZ,@NicolasTovarZ,Undirected,2
@NoTenganDudaQue,@NoTenganDudaQue,Undirected,2
@Noridaoficial,@Noridaoficial,Undirected,1
@NoticiasCaracol,@NoticiasCaracol,Undirected,1
"@NoticiasCaracoltv,","@NoticiasCaracoltv,",Undirected,1
@NoticiasRCN,@NoticiasRCN,Undirected,21
@OIZuluaga,@OIZuluaga,Undirected,2
@Omitar69,@Omitar69,Undirected,2
@Oscar16720574,@Oscar16720574,Undirected,1
@Osorious,@Osorious,Undirected,1
@PRISARadio,@PRISARadio,Undirected,1
@PactoCol,@PactoCol,Undirected,1
@Palacios_Andres,@Palacios_Andres,Undirected,1
@PalmaEdwin,@PalmaEdwin,Undirected,1
@PaoHerreraC,@PaoHerreraC,Undirected,3
@PartidoVerdeCoL,@PartidoVerdeCoL,Undirected,1
@PaulinaBrttz,@PaulinaBrttz,Undirected,1
@PaulinaLaAndona,@PaulinaLaAndona,Undirected,1
@Penalosadas,@Penalosadas,Undirected,1
@PepitoScruton,@PepitoScruton,Undirected,1
@PereiraYPereira,@PereiraYPereira,Undirected,1
@Perenguena,@Perenguena,Undirected,2
@Perroacuadros,@Perroacuadros,Undirected,1
@PetAngelsCol,@PetAngelsCol,Undirected,1
@Pinnktomatte,@Pinnktomatte,Undirected,1
@Pipebecerra1,@Pipebecerra1,Undirected,1
@PoliciaCali,@PoliciaCali,Undirected,1
@Polombiano88,@Polombiano88,Undirected,3
@PolombianoDBien,@PolombianoDBien,Undirected,2
@PrimoECosta,@PrimoECosta,Undirected,1
@ProfErickB,@ProfErickB,Undirected,2
@ProsperidadCol,@ProsperidadCol,Undirected,7
@Pulzo,@Pulzo,Undirected,1
@Puntored_CO,@Puntored_CO,Undirected,1
@QuintinQuinter,@QuintinQuinter,Undirected,1
@ROSAMLOPEZE,@ROSAMLOPEZE,Undirected,1
@R_de_alicantino,@R_de_alicantino,Undirected,1
@RadioPlaneta969,@RadioPlaneta969,Undirected,1
@RadiologiaEpige,@RadiologiaEpige,Undirected,1
@RafaFlores1,@RafaFlores1,Undirected,1
@RamirezcLawyer,@RamirezcLawyer,Undirected,1
@RappiPay,@RappiPay,Undirected,3
@RevistaSemana,@RevistaSemana,Undirected,3
@RicardoBSalinas,@RicardoBSalinas,Undirected,1
@Rochajaramillo,@Rochajaramillo,Undirected,1
@RolaRiza,@RolaRiza,Undirected,2
@RommelMoral,@RommelMoral,Undirected,1
@RoyBarreras,@RoyBarreras,Undirected,2
@RozoBeto,@RozoBeto,Undirected,1
@RubenPinzonHdez,@RubenPinzonHdez,Undirected,1
@Ruta_N,@Ruta_N,Undirected,5
@SFCsupervisor,@SFCsupervisor,Undirected,88
@SSF_ElSalvador,@SSF_ElSalvador,Undirected,6
@SSociedades,@SSociedades,Undirected,1
@Sago2022,@Sago2022,Undirected,4
@Sagoatehortua,@Sagoatehortua,Undirected,1
@SantaTeclaSV,@SantaTeclaSV,Undirected,1
@SantiagoVargasN,@SantiagoVargasN,Undirected,1
@SaraTufanoZ,@SaraTufanoZ,Undirected,1
@ScotiaColpatria,@ScotiaColpatria,Undirected,4
@Sebasma91,@Sebasma91,Undirected,1
@SebastianNohra,@SebastianNohra,Undirected,1
@SebastianRegino,@SebastianRegino,Undirected,1
@Sebastian___1,@Sebastian___1,Undirected,1
@SegurosBolivar,@SegurosBolivar,Undirected,39
@SegurosMundial,@SegurosMundial,Undirected,1
@SennorReds,@SennorReds,Undirected,1
@SharaLo85029316,@SharaLo85029316,Undirected,1
@Sicresponde,@Sicresponde,Undirected,1
@SimonVargasM,@SimonVargasM,Undirected,1
@Skater_To_Death,@Skater_To_Death,Undirected,2
@Smoucchween,@Smoucchween,Undirected,2
@SnJuanerita,@SnJuanerita,Undirected,1
@Social_Skin_,@Social_Skin_,Undirected,3
@Soscomputercali,@Soscomputercali,Undirected,1
@SoyAliciaFranco,@SoyAliciaFranco,Undirected,1
@SoyCaste,@SoyCaste,Undirected,1
@SoyLinaPorDios,@SoyLinaPorDios,Undirected,1
@Srt_Toloza,@Srt_Toloza,Undirected,1
@Supersalud,@Supersalud,Undirected,1
@Superservicios,@Superservicios,Undirected,6
@SusanaCorreaBor,@SusanaCorreaBor,Undirected,6
@TRA,@TRA,Undirected,1
@TRAFICOENTEGUS,@TRAFICOENTEGUS,Undirected,2
@TROYA_NOTICIAS,@TROYA_NOTICIAS,Undirected,3
@Tajoha145,@Tajoha145,Undirected,1
@TelepacificoTV,@TelepacificoTV,Undirected,1
@Tenniscomco,@Tenniscomco,Undirected,1
@ToroDeArena,@ToroDeArena,Undirected,1
@TovarSantiago19,@TovarSantiago19,Undirected,1
@TuBoletaNews,@TuBoletaNews,Undirected,1
@TuCivica,@TuCivica,Undirected,1
@TuFaviorito,@TuFaviorito,Undirected,1
@Twitter,@Twitter,Undirected,1
@Tyra77541491,@Tyra77541491,Undirected,1
@UCHLSISTEMAS,@UCHLSISTEMAS,Undirected,1
@UNALOficial,@UNALOficial,Undirected,1
@Uber_Col,@Uber_Col,Undirected,2
@Uber_Support,@Uber_Support,Undirected,1
@VMTElSalvador,@VMTElSalvador,Undirected,1
@ValennCardona,@ValennCardona,Undirected,1
@Valenti48370428,@Valenti48370428,Undirected,1
@ValentinoSnow27,@ValentinoSnow27,Undirected,1
@VannesaPinedaM4,@VannesaPinedaM4,Undirected,1
@VictoriaMejiaM,@VictoriaMejiaM,Undirected,1
@VillamilMarlene,@VillamilMarlene,Undirected,1
@VillanuevaGuaj,@VillanuevaGuaj,Undirected,1
@Vivibar,@Vivibar,Undirected,1
@WILIRBOA,@WILIRBOA,Undirected,1
@WRadioColombia,@WRadioColombia,Undirected,2
@WellAgency3,@WellAgency3,Undirected,1
@Wendys_sv,@Wendys_sv,Undirected,1
@WhitneyMeneses,@WhitneyMeneses,Undirected,1
@WilliamSorianoH,@WilliamSorianoH,Undirected,1
@WinSportsTV,@WinSportsTV,Undirected,1
@WintorAbc,@WintorAbc,Undirected,2
@XioTorrado,@XioTorrado,Undirected,1
@Xtresveces,@Xtresveces,Undirected,1
@YamidAmatCMI,@YamidAmatCMI,Undirected,1
@YefryLopez6,@YefryLopez6,Undirected,1
@YeiMosquera,@YeiMosquera,Undirected,1
@YerlyMozo,@YerlyMozo,Undirected,1
@YessidAlvarez,@YessidAlvarez,Undirected,1
@Yopucheros,@Yopucheros,Undirected,1
@YouTube,@YouTube,Undirected,1
@Zuletalleras,@Zuletalleras,Undirected,2
@_Cavernicola_,@_Cavernicola_,Undirected,1
@_Chivowallet192,@_Chivowallet192,Undirected,1
@_JennMa_,@_JennMa_,Undirected,1
@_____juanse,@_____juanse,Undirected,1
@_ajaytuque,@_ajaytuque,Undirected,1
@actualidadpanam,@actualidadpanam,Undirected,1
@agaviriau,@agaviriau,Undirected,1
@agmethescaf,@agmethescaf,Undirected,1
@akanesita01,@akanesita01,Undirected,1
@alejocoqui,@alejocoqui,Undirected,2
@alexandervg0,@alexandervg0,Undirected,1
@alexillo36,@alexillo36,Undirected,2
@almacenesexito,@almacenesexito,Undirected,2
@alreves22,@alreves22,Undirected,1
@ammb_2000,@ammb_2000,Undirected,1
@andreanimalidad,@andreanimalidad,Undirected,1
@andreincolombia,@andreincolombia,Undirected,3
@andres_ospinag,@andres_ospinag,Undirected,1
@andrescepeda,@andrescepeda,Undirected,17
@andresgamezb,@andresgamezb,Undirected,1
@andresjuliodiaz,@andresjuliodiaz,Undirected,1
@andresmania,@andresmania,Undirected,1
@andresoso,@andresoso,Undirected,1
@andrew941204,@andrew941204,Undirected,1
@angelamars,@angelamars,Undirected,1
@angelamrobledo,@angelamrobledo,Undirected,2
@angelmed82,@angelmed82,Undirected,2
@anggi_avila,@anggi_avila,Undirected,1
@anmalomo25,@anmalomo25,Undirected,1
@anngie1989,@anngie1989,Undirected,1
@antoasb,@antoasb,Undirected,1
@ashima7,@ashima7,Undirected,3
@asiesmuyberraco,@asiesmuyberraco,Undirected,1
@aureliobabiloni,@aureliobabiloni,Undirected,1
@balvinparce,@balvinparce,Undirected,1
@bancoagricolasv,@bancoagricolasv,Undirected,2
@bancobogota,@bancobogota,Undirected,1
@bancocajasocial,@bancocajasocial,Undirected,1
@bancosantander,@bancosantander,Undirected,1
@barrile37043017,@barrile37043017,Undirected,1
@bascobscd,@bascobscd,Undirected,1
@bbva,@bbva,Undirected,6
@bienes_cali,@bienes_cali,Undirected,1
@binance,@binance,Undirected,22
@blvckpool,@blvckpool,Undirected,1
@bnmascerca,@bnmascerca,Undirected,1
@bvcColombia,@bvcColombia,Undirected,1
@byronehr,@byronehr,Undirected,1
@cachaful,@cachaful,Undirected,3
