Source,Target,Type,Weight
@distimicaa,@sfcsupervisor,undirected,1
@don_mengano,@cairolinha,undirected,1
@donkaiser016,@oscar16720574,undirected,1
@drcata,@davivienda,undirected,1
@drcata,@sfcsupervisor,undirected,1
@ebliinreyes,@susanacorreabor,undirected,1
@ecuantica,@andreanimalidad,undirected,1
@ecuantica,@somosraya,undirected,1
@ecuantica,@yerlymozo,undirected,1
@eder78849160,@darcyquinnr,undirected,1
@eder78849160,@davivienda,undirected,1
@edildiaz1501,@daviplata,undirected,1
@edildiaz1501,@davivienda,undirected,1
@edimejia1979,@binance,undirected,13
@edimejia1979,@binancees,undirected,5
@edimejia1979,@binancehelpdesk,undirected,4
@edimejia1979,@cachaful,undirected,2
@edimejia1979,@cz_binance,undirected,4
@edimejia1979,@davivienda,undirected,8
@edimejia1979,@diariobitcoin,undirected,1
@edimejia1979,@digitalbuzzfab,undirected,1
@edimejia1979,@elbitcoin,undirected,1
@edimejia1979,@noticiascaracoltv,undirected,1
@edimejia1979,@noticiasrcn,undirected,15
@edocote,@rcnradio,undirected,1
@eduardbernstei1,@franciamarquezm,undirected,1
@eduardcenteno,@wilsonariasc,undirected,1
@el_magdaniel,@pepadeguama1,undirected,1
@elambidiestro2,@pascuteboy,undirected,1
@eljulisoquete,@davivienda,undirected,1
@eljulisoquete,@sfcsupervisor,undirected,1
@elkinsu,@_ajaytuque,undirected,1
@elkinsu,@davivienda,undirected,1
@elpetisoarango,@americadecali,undirected,1
@elpetisoarango,@millosfcoficial,undirected,1
@elquelosdelata,@isazuleta,undirected,1
@eltiempo,@mabellaranews,undirected,1
@eltiempo,@triplecibarguen,undirected,1
@enriquedelgadop,@davivienda,undirected,4
@enriquedelgadop,@wilsonariasc,undirected,4
@ernestomaciast,@alvarouribevel,undirected,1
@error404col,@davivienda,undirected,2
@espino39170328,@humocolorazul,undirected,1
@esteesmitweet,@davivienda,undirected,1
@esteesmitweet,@wendys_sv,undirected,1
@estella92,@fiscaliacol,undirected,1
@eticketcol,@bancosaval,undirected,2
@eticketcol,@tuboletanews,undirected,1
@ez2000co,@davivienda,undirected,2
@faber_acuria,@asodeporcali,undirected,2
@falabella_co,@alkosto,undirected,1
@falabella_co,@clarocolombia,undirected,1
@falabella_co,@claroteayuda,undirected,1
@falabella_co,@davivienda,undirected,1
@falabella_co,@movistarco,undirected,2
@falabella_co,@sicsuper,undirected,1
@fenixulloavp,@bancoagricolasv,undirected,1
@fenixulloavp,@bancocuscatlan_,undirected,1
@fenixulloavp,@davivienda,undirected,1
@fervarelahn,@luislarahn,undirected,1
@fiigueeroa,@davivienda,undirected,1
@fiscaliacol,@davivienda,undirected,1
@fiscaliacol,@lafm,undirected,1
